Date,SKU_ID,Warehouse_ID,Supplier_ID,Region,Units_Sold,Inventory_Level,Supplier_Lead_Time_Days,Reorder_Point,Order_Quantity,Unit_Cost,Unit_Price,Promotion_Flag,Stockout_Flag,Demand_Forecast,Lag_1,Lag_7,Rolling_Mean_7,Rolling_Mean_30,Rolling_Std_7,DayOfWeek,Month,DayOfMonth,DayOfYear,IsWeekend,Month_Sin,Month_Cos,DayOfYear_Sin,DayOfYear_Cos,Price_Cost_Ratio,Below_Reorder_Point
2024-01-01,SKU_1,WH_1,SUP_8,West,10.0,592.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,8.52,,,,,,0.0,1.0,1.0,1.0,0,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,1.468100358422939,0
2024-01-02,SKU_1,WH_1,SUP_8,West,17.0,575.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,18.63,10.0,,,,,1.0,1.0,2.0,2.0,0,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,1.468100358422939,0
2024-01-03,SKU_1,WH_1,SUP_8,North,35.0,540.0,14.0,379.0,0.0,13.95,20.48,1.0,0.0,39.62,17.0,,,,,2.0,1.0,3.0,3.0,0,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,1.468100358422939,0
2024-01-04,SKU_1,WH_1,SUP_8,South,24.0,516.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,19.43,35.0,,,,,3.0,1.0,4.0,4.0,0,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,1.468100358422939,0
2024-01-05,SKU_1,WH_1,SUP_8,West,21.0,495.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,18.7,24.0,,,,,4.0,1.0,5.0,5.0,0,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,1.468100358422939,0
2024-01-06,SKU_1,WH_1,SUP_8,East,18.0,477.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,18.33,21.0,,,,,5.0,1.0,6.0,6.0,1,0.49999999999999994,0.8660254037844387,0.10310169744743485,0.9946708199115211,1.468100358422939,0
2024-01-07,SKU_1,WH_1,SUP_8,North,19.0,458.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,18.91,18.0,,,,,6.0,1.0,7.0,7.0,1,0.49999999999999994,0.8660254037844387,0.1202080448993527,0.9927487224577402,1.468100358422939,0
2024-01-08,SKU_1,WH_1,SUP_8,North,23.0,435.0,14.0,379.0,0.0,13.95,20.48,1.0,0.0,25.84,19.0,10.0,20.571428571428573,,7.678045386189178,0.0,1.0,8.0,8.0,0,0.49999999999999994,0.8660254037844387,0.13727877211326478,0.9905324521322229,1.468100358422939,0
2024-01-09,SKU_1,WH_1,SUP_8,West,25.0,410.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,21.7,23.0,17.0,22.428571428571427,,6.1062029351892875,1.0,1.0,9.0,9.0,0,0.49999999999999994,0.8660254037844387,0.15430882066428117,0.9880226656636976,1.468100358422939,0
2024-01-10,SKU_1,WH_1,SUP_8,South,25.0,385.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,21.34,25.0,35.0,23.571428571428573,,5.652643713553945,2.0,1.0,10.0,10.0,0,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,1.468100358422939,0
2024-01-11,SKU_1,WH_1,SUP_8,North,23.0,362.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,18.82,25.0,24.0,22.142857142857142,,2.853569193634022,3.0,1.0,11.0,11.0,0,0.49999999999999994,0.8660254037844387,0.1882267098432442,0.9821256058680006,1.468100358422939,1
2024-01-12,SKU_1,WH_1,SUP_8,West,29.0,803.0,14.0,379.0,470.0,13.95,20.48,1.0,0.0,31.65,23.0,21.0,22.0,,2.7688746209726878,4.0,1.0,12.0,12.0,0,0.49999999999999994,0.8660254037844387,0.2051044998686192,0.9787400799669153,1.468100358422939,0
2024-01-13,SKU_1,WH_1,SUP_8,North,25.0,778.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,25.08,29.0,18.0,23.142857142857142,,3.760699023168049,5.0,1.0,13.0,13.0,1,0.49999999999999994,0.8660254037844387,0.2219215130041655,0.9750645322571948,1.468100358422939,0
2024-01-14,SKU_1,WH_1,SUP_8,South,26.0,752.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,24.39,25.0,19.0,24.142857142857142,,3.023715784073814,6.0,1.0,14.0,14.0,1,0.49999999999999994,0.8660254037844387,0.2386727660059501,0.9711000518829505,1.468100358422939,0
2024-01-15,SKU_1,WH_1,SUP_8,North,19.0,733.0,14.0,379.0,0.0,13.95,20.48,1.0,0.0,21.16,26.0,23.0,25.142857142857142,,2.035400978396424,0.0,1.0,15.0,15.0,0,0.49999999999999994,0.8660254037844387,0.255353295116187,0.9668478136052775,1.468100358422939,0
2024-01-16,SKU_1,WH_1,SUP_8,West,19.0,714.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,20.84,19.0,25.0,24.571428571428573,,3.047247001100217,1.0,1.0,16.0,16.0,0,0.49999999999999994,0.8660254037844387,0.2719581575341055,0.9623090774541486,1.468100358422939,0
2024-01-17,SKU_1,WH_1,SUP_8,East,26.0,688.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,23.28,19.0,25.0,23.714285714285715,,3.6839419880650333,2.0,1.0,17.0,17.0,0,0.49999999999999994,0.8660254037844387,0.288482432880609,0.9574851883550393,1.468100358422939,0
2024-01-18,SKU_1,WH_1,SUP_8,North,22.0,666.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,20.13,26.0,23.0,23.857142857142858,,3.7606990231680495,3.0,1.0,18.0,18.0,0,0.49999999999999994,0.8660254037844387,0.30492122465628907,0.9523775757303974,1.468100358422939,0
2024-01-19,SKU_1,WH_1,SUP_8,North,28.0,638.0,14.0,379.0,0.0,13.95,20.48,1.0,0.0,31.49,22.0,29.0,23.714285714285715,,3.817254061682108,4.0,1.0,19.0,19.0,0,0.49999999999999994,0.8660254037844387,0.3212696616923644,0.9469877530760753,1.468100358422939,0
2024-01-20,SKU_1,WH_1,SUP_8,East,17.0,621.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,13.41,28.0,25.0,23.571428571428573,,3.5989416433697468,5.0,1.0,20.0,20.0,1,0.49999999999999994,0.8660254037844387,0.3375228995941133,0.9413173175128471,1.468100358422939,0
2024-01-21,SKU_1,WH_1,SUP_8,East,25.0,596.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,19.95,17.0,26.0,22.428571428571427,,4.276179870598789,6.0,1.0,21.0,21.0,1,0.49999999999999994,0.8660254037844387,0.3536761221763716,0.9353679493131483,1.468100358422939,0
2024-01-22,SKU_1,WH_1,SUP_8,South,28.0,568.0,14.0,379.0,0.0,13.95,20.48,0.0,0.0,30.39,25.0,19.0,22.285714285714285,,4.151878519188058,0.0,1.0,22.0,22.0,0,0.49999999999999994,0.8660254037844387,0.3697245428906731,0.9291414114031743,1.468100358422939,0
